,Source,Target,Weight
544,Thor,Thrudvang,3
545,Loke,Geirrod,3
546,Geirrod,Loke,3
547,Thor,River,3
548,Gjalp,Greip,3
549,Greip,Geirrod,3
550,Thor,Iron,3
551,Geirrod,Iron,3
552,Odin,Earth,3
553,Thing,Gods,3
554,Loke,Sif,3
555,Æger,Periphrases,3
556,Æger,Sea,3
557,Sif,Loke,3
558,Loke,Hair,3
559,Loke,Head,3
560,Brok,Loke,3
561,Loke,Shoes,3
562,Loke,Knife,3
563,Loke,Gold,3
564,Hreidmar,Otter,3
565,Hreidmar,Fafner,3
566,Regin,Brother,3
567,Hreidmar,Ransom,3
568,Fafner,Share,3
569,Fafner,Sword,3
570,Sigurd,Sigmund,3
571,Sigurd,Daughter,3
572,Sigurd,Regin,3
573,Sigurd,Heart,3
574,Grane,Sigurd,3
575,Hild,Name,3
576,Brynhild,Wife,3
577,Sigurd,Wife,3
578,Sigurd,Children,3
579,Gjuke,Hogne,3
580,Hogne,Gudrun,3
581,Hogne,Gjuke,3
582,Hogne,Daughter,3
583,Gudrun,Gunnar,3
584,Gjuke,Daughter,3
585,Sigurd,Hogne,3
586,Gunnar,Atle,3
587,Hogne,Atle,3
588,Hogne,Son,3
589,Sigurd,Budle,3
590,Gjuke,Brynhild,3
591,Gunnar,Vafurloge,3
592,Sigurd,Bickering,3
593,Gunnar,Brynhild,3
594,Gudrun,Brynhild,3
595,Gudrun,Stream,3
596,Brynhild,Hogne,3
597,Guthorm,Sword,3
598,Hogne,Gold,3
599,Atle,Gunnar,3
600,Atle,Hogne,3
601,Sorle,Erp,3
602,Jormunrek,Hawk,3
603,Jormunrek,Feet,3
604,Sorle,Hands,3
605,Hamder,Erp,3
606,Erp,Jormunrek,3
607,Frode,King,3
608,Fenja,Menja,3
609,Svithjod,Land,3
610,Frode,Hands,3
611,Wake,Frode,3
612,Yrsa,Brother,3
613,Rolf,Adils,3
614,Krake,Adils,3
615,Krake,War,3
616,Adils,Rolf,3
617,Adils,Krake,3
618,Adils,King,3
619,Ale,King,3
620,Adils,Fire,3
621,Rolf,Berserks,3
622,Fyrisvold,King,3
623,Fyrisvold,Name,3
624,Hedin,Battle,3
625,Foreword,Gylfe,3
626,Iliad,Odin,3
627,Gylfe,Snorre,3
628,Romulus,Roman,3
629,Rome,Romulus,3
630,Virgil,Poem,3
631,Greeks,Æneas,3
632,Virgil,Odin,3
633,Pompey,Mithridates,3
634,Teutonic,Odin,3
635,Odin,Mithridates,3
636,Odin,Countries,3
637,Germany,Norway,3
638,Sweden,Norway,3
639,Sweden,People,3
640,Heimskringla,Odin,3
641,Asia,Europe,3
642,Svithjod,Cold,3
643,Great,Cold,3
644,Great,Blueland,3
645,Great,Part,3
646,Sweden,Footnote,3
647,Asaland,Odin,3
648,Frey,Asaland,3
649,Asaland,Man,3
650,Hœner,Mimer,3
651,Frey,Footnote,3
652,Mythology,Footnote,3
653,Elder,Odin,3
654,Great,Odin,3
655,Turkland,Odin,3
656,Odin,Vile,3
657,Roman,Empire,3
658,Odin,Number,3
659,Northern,Mythology,3
660,Sweden,Odin,3
661,Gylfe,Strength,3
662,Grimner,Elder,3
663,Grimner,Edda,3
664,Grimner,Odin,3
665,Svidr,People,3
666,Swedes,Seasons,3
667,Yngve,Name,3
668,Frey,Edda,3
669,Loge,Kare,3
670,Kare,Name,3
671,Kare,Froste,3
672,Froste,Frost,3
673,Goe,Sister,3
674,Odin,Creation,3
675,Urd,Mythology,3
676,Lay,Elder,3
677,Lay,Edda,3
678,Norns,Shakspeare,3
679,Sisters,Witches,3
680,Sisters,Shakspeare,3
681,Sisters,Norns,3
682,Witch_,Heath,3
683,Witch_,Macbeth,3
684,Witch_,_all_,3
685,Witch_,Paddock,3
686,Witch_,Anon,3
687,Witch_,Fair,3
688,Witches,Act,3
689,Norns,Witches,3
690,Shakspeare,Witches,3
691,Sisters,Folk-lore,3
692,Chlothildis,Fay,3
693,Holy,Bournes,3
694,Forsete,Abode,3
695,Forestier,Echoes,3
696,Thor,God,3
697,Mythus,Von,3
698,Nordischen,Von,3
699,Christmas,Man,3
700,God,Earth,2
701,God,Things,2
702,God,Flood,2
703,Noah,Flood,2
704,God,Sons,2
705,God,Name,2
706,God,Man,2
707,Ham,Shem,2
708,Japheth,Region,2
709,Bel,Names,2
710,Mediterranean,Part,2
711,Sea,Part,2
712,Africa,Part,2
713,Europe,Enea,2
714,Odin,Region,2
715,Saturn,God,2
716,God,Error,2
717,Crete,Men,2
718,Crete,People,2
719,Nile,Country,2
720,Nile,Thrall,2
721,Nile,Argulos,2
722,Nile,Care,2
723,Nile,Months,2
724,Jupiter,Neptune,2
725,Jupiter,Pluto,2
726,Jupiter,Men,2
727,Jupiter,Father,2
728,Jupiter,Crete,2
729,Jupiter,Earth,2
730,Cerberos,Greeks,2
731,Cerberos,Herakles,2
732,Cerberos,Earth,2
733,Cerberos,Saturn,2
734,Saturn,Jupiter,2
735,Saturn,Son,2
736,Italy,Time,2
737,Herikon,Priamos,2
738,Tros,Son,2
739,Tros,Priamos,2
740,Ilos,Priamos,2
741,Priamos,Sons,2
742,Priamos,Hektor,2
743,Priamos,Men,2
744,Priamos,World,2
745,Hektor,Men,2
746,Greeks,Strength,2
747,Greeks,Trojans,2
748,Romans,Rome,2
749,Romans,Trojans,2
750,Odin,Burg,2
751,Sibyl,Sif,2
752,Sif,Women,2
753,Sif,Gold,2
754,Sif,Son,2
755,Gudolf,Son,2
756,Frigg,Wife,2
757,Odin,Power,2
758,Odin,Knowledge,2
759,Saxland,Odin,2
760,Saxland,Country,2
761,Odin,Defense,2
762,Odin,King,2
763,Odin,East,2
764,East,Father,2
765,Saxland,Father,2
766,Vitrgils,Father,2
767,Ritta,Father,2
768,Svipdag,Son,2
769,Beldegg,Son,2
770,Balder,Land,2
771,Balder,Son,2
772,Gevis,Son,2
773,Gave,Son,2
774,Reidgotaland,Son,2
775,Skjold,Skjoldungs,2
776,Skjold,Land,2
777,Svithjod,King,2
778,Yngve,Ynglings,2
779,Sweden,Land,2
780,Ynglings,Wives,2
781,Gylfe,Sweden,2
782,Gefjun,North,2
783,Jotunheim,Oxen,2
784,Jotunheim,Sons,2
785,Jotunheim,Plow,2
786,Gefjun,Seeland,2
787,Sweden,Bays,2
788,Sweden,Correspond,2
789,Logrinn,Malar,2
790,Lake,Bays,2
791,Lake,Correspond,2
792,Lake,Capes,2
793,Lake,Seeland,2
794,Lake,Thus,2
795,Lake,Brage,2
796,Seeland,Gefjun,2
797,Seeland,Drew,2
798,Seeland,Gylfe,2
799,Seeland,Denmark,2
800,Seeland,Increase,2
801,Brage,Gefjun,2
802,Gefjun,Drew,2
803,Gefjun,Beasts,2
804,Gefjun,Heads,2
805,Drew,Gylfe,2
806,Drew,Land,2
807,Drew,Denmark,2
808,Drew,Increase,2
809,Drew,Beasts,2
810,Drew,Heads,2
811,Gylfe,Land,2
812,Gylfe,Increase,2
813,Gylfe,Beasts,2
814,Gylfe,Heads,2
815,Gylfe,Eyes,2
816,Denmark,Beasts,2
817,Robbed,Land,2
818,Robbed,Isle,2
819,Robbed,Gylfe,2
820,Hvin,Thatchers,2
821,Valhal,Gold,2
822,Har,Comer,2
823,Jafnhar,One,2
824,Ganglere,Question,2
825,Ganglere,Gods,2
826,Ganglere,Answer,2
827,Herjan,Fjolner,2
828,Hnikar,Ome,2
829,Hnikar,Biflinde,2
830,Hnikud,Oske,2
831,Hnikud,Ome,2
832,Hnikud,Biflinde,2
833,Fjolner,Oske,2
834,Fjolner,Ome,2
835,Fjolner,Biflinde,2
836,Ome,Jalk,2
837,Biflinde,Jalk,2
838,Biflinde,Ganglere,2
839,Jalk,Ganglere,2
840,Har,Things,2
841,Vingolf,Hel,2
842,Hel,Heaven,2
843,Har,Frost-giants,2
844,Har,World,2
845,Said,Existence,2
846,Har,Time,2
847,Har,Morning,2
848,Ginungagap,Jafnhar,2
849,Ginungagap,Niflheim,2
850,Jafnhar,Earth,2
851,Hvergelmer,Svol,2
852,Hvergelmer,Vid,2
853,Svol,Gunnthro,2
854,Svol,Slid,2
855,Slid,Sylg,2
856,Sylg,Ylg,2
857,Leipt,Gjoll,2
858,Thride,Muspelheim,2
859,Prophecy,Sun,2
860,Surt,Sun,2
861,Hel,Men,2
862,Said,Place,2
863,Ginungagap,North,2
864,Ginungagap,Thick,2
865,Ginungagap,Ice,2
866,Ginungagap,Rime,2
867,Ginungagap,Muspelheim,2
868,Thride,Things,2
869,Muspelheim,Rime,2
870,Muspelheim,Drops,2
871,Muspelheim,Heat,2
872,Prophecy,Vala,2
873,Lay,Hyndla,2
874,Ymer,Sons,2
875,Vafthrudner,Giant,2
876,Ymer,Dwell,2
877,Ymer,Thing,2
878,Ymer,Rime,2
879,Har,Thing,2
880,Har,Rime,2
881,Thereupon,Ganglere,2
882,Thereupon,Har,2
883,Bor,Woman,2
884,Bor,Name,2
885,Bor,Bestla,2
886,Bor,Daughter,2
887,Bor,Bolthorn,2
888,Bor,Hight,2
889,Bor,Odin,2
890,Vile,Odin,2
891,Har,Sons,2
892,Har,Bor,2
893,Har,Ymer,2
894,Har,Blood,2
895,Ymer,Blood,2
896,Bergelmer,Ark,2
897,Was,How,2
898,Ymer,Earth,2
899,Ymer,Seas,2
900,Austre,Vestre,2
901,Nordre,Sudre,2
902,Vala,Where,2
903,Vala,Hall,2
904,Vala,Moon,2
905,Old,Norse,2
906,Midgard,Brains,2
907,Midgard,Clouds,2
908,Clouds,Lay,2
909,Elder,Vafthrudner,2
910,Elder,Chapter,2
911,Elder,Ganglere,2
912,Grimner,Ganglere,2
913,Lay,Chapter,2
914,Lay,Creation,2
915,Lay,Continued,2
916,Vafthrudner,Chapter,2
917,Har,Trees,2
918,Bor,Trees,2
919,Ask,Embla,2
