,AIR,ANIMALS,APOLLO,APPLE,ARK,ARM,ARROW,ASS,BASKET,BATH,BEAR,BELL,BIRD,BIRDS,BLOOD,BOAT,BODY,BOOK,BOTTLE,BOW,BOX,BRANCH,BRIDGE,CASTLE,CHAIN,CHARIOT,CHILD,CIRCLE,CITY,CLOAK,CLOTHES,CLOUDS,COLD,COLUMN,COMBAT,COW,CROSS,CROWD,CROWN,CRYSTAL,DANCE,DARKNESS,DEATH,DESERT,DESTRUCTION,DEVIL,DISGUISE,DOG,DOOR,DOVE,DRAGON,DRINK,DUST,DWARF,EAGLE,EARTH,EGYPT,EMPEROR,EVE,EYE,FARMER,FATHER,FIELDS,FIGHT,FIRE,FISH,FLIGHT,FLUTE,FOOT,FOREST,FOUNTAIN,FRUIT,GARDEN,GARLAND,GIANT,GOBLET,GOLD,HAIR,HALO,HAND,HARE,HAT,HEAD,HEART,HEAVEN,HELL,HERO,HORNS,HORSE,HOUSE,HUNT,HUNTER,INSTRUMENTS,ISLAND,IVY,JOURNEY,JUPITER,KING,KNIFE,LAMP,LAUREL,LIFE,LIGHT,LION,LOVE,LOVER,MAN,MARRIAGE,MARS,MASK,MEADOW,MIRROR,MIST,MOON,MOTHER,MOUNTAIN,MOUTH,MUSIC,MUSICIAN,NATURE,NIGHT,NUMBERS,TEN,NYMPHS,PALACE,PAN,PARADISE,PILLAR,POINT,POMEGRANATE,POWER,PRINCE,PROCESSION,RADIANCE,RELIEF,RING,RIVER,ROCK,ROOM,RUINS,SACRIFICE,SEA,SEASONS,SECRET,SERPENT,SHEPHERD,SHIP,SIGN,SKIN,SKULL,SNOW,SPACE,STAG,STARS,STONE,STORM,STRENGTH,SUN,SWORD,TEMPLE,THORN,THREAD,THRONE,TIME,TOMB,TOWER,TREASURE,TREE,TRIUMPH,TWILIGHT,VALLEY,VENUS,VESSEL,VICTORY,VINE,VOYAGE,WALL,WAR,WARRIORS,WATER,WAVES,WEAVING,WELL,WEST,WHEEL,WHITE,WIND,WINDOW,WINE,WINGS,WOLF,WOMAN,WOOD,WORLD
DEATH,41.0,54.0,8.0,5.0,38.0,26.0,7.0,85.0,5.0,7.0,21.0,6.0,45.0,21.0,37.0,15.0,21.0,10.0,3.0,8.0,13.0,8.0,15.0,22.0,14.0,22.0,27.0,31.0,26.0,11.0,20.0,14.0,7.0,30.0,11.0,9.0,48.0,5.0,26.0,8.0,17.0,23.0,130.0,17.0,27.0,19.0,8.0,23.0,12.0,12.0,46.0,10.0,9.0,13.0,40.0,45.0,36.0,16.0,79.0,26.0,17.0,10.0,7.0,15.0,52.0,24.0,17.0,7.0,16.0,16.0,19.0,3.0,12.0,12.0,30.0,8.0,25.0,11.0,12.0,44.0,15.0,104.0,43.0,21.0,45.0,27.0,24.0,25.0,36.0,23.0,9.0,24.0,6.0,16.0,1.0,32.0,13.0,60.0,7.0,9.0,8.0,66.0,42.0,28.0,30.0,9.0,97.0,9.0,22.0,17.0,5.0,29.0,18.0,35.0,37.0,56.0,19.0,41.0,8.0,36.0,28.0,17.0,61.0,12.0,10.0,26.0,9.0,11.0,44.0,5.0,38.0,5.0,24.0,4.0,7.0,58.0,13.0,16.0,12.0,6.0,25.0,35.0,18.0,12.0,36.0,4.0,51.0,82.0,8.0,12.0,7.0,47.0,35.0,20.0,37.0,8.0,18.0,41.0,41.0,51.0,5.0,5.0,7.0,60.0,6.0,28.0,20.0,43.0,16.0,20.0,15.0,9.0,5.0,11.0,15.0,11.0,19.0,52.0,7.0,62.0,6.0,5.0,45.0,25.0,39.0,26.0,17.0,13.0,8.0,20.0,12.0,24.0,16.0,60.0
DESERT,16.0,21.0,4.0,2.0,13.0,9.0,4.0,23.0,3.0,3.0,6.0,3.0,16.0,11.0,13.0,11.0,12.0,8.0,1.0,4.0,6.0,2.0,7.0,9.0,8.0,10.0,9.0,14.0,8.0,3.0,10.0,8.0,4.0,11.0,3.0,4.0,18.0,2.0,12.0,2.0,8.0,8.0,17.0,37.0,8.0,6.0,6.0,7.0,4.0,7.0,20.0,2.0,3.0,6.0,20.0,11.0,13.0,3.0,25.0,11.0,8.0,2.0,4.0,6.0,19.0,12.0,7.0,3.0,11.0,10.0,6.0,2.0,8.0,8.0,12.0,6.0,12.0,8.0,5.0,14.0,9.0,28.0,19.0,11.0,17.0,12.0,12.0,10.0,13.0,13.0,5.0,10.0,2.0,7.0,0.0,12.0,2.0,23.0,2.0,3.0,5.0,15.0,12.0,17.0,7.0,3.0,29.0,5.0,10.0,8.0,4.0,14.0,6.0,11.0,13.0,18.0,10.0,18.0,1.0,11.0,9.0,9.0,15.0,7.0,6.0,7.0,5.0,4.0,11.0,2.0,11.0,2.0,17.0,4.0,3.0,17.0,7.0,6.0,5.0,4.0,6.0,15.0,8.0,5.0,17.0,3.0,22.0,19.0,9.0,6.0,4.0,21.0,12.0,9.0,15.0,6.0,8.0,14.0,13.0,20.0,3.0,0.0,3.0,19.0,2.0,11.0,8.0,19.0,8.0,9.0,10.0,4.0,3.0,4.0,5.0,8.0,10.0,14.0,4.0,26.0,5.0,5.0,16.0,8.0,16.0,7.0,7.0,4.0,6.0,4.0,9.0,14.0,5.0,16.0
DESTRUCTION,20.0,26.0,5.0,1.0,20.0,13.0,5.0,30.0,3.0,7.0,8.0,3.0,16.0,10.0,19.0,9.0,11.0,7.0,0.0,7.0,4.0,5.0,8.0,10.0,9.0,10.0,15.0,16.0,12.0,5.0,11.0,9.0,4.0,14.0,11.0,4.0,25.0,2.0,12.0,3.0,11.0,10.0,27.0,8.0,47.0,10.0,3.0,9.0,5.0,5.0,24.0,3.0,6.0,5.0,21.0,18.0,12.0,10.0,33.0,13.0,8.0,6.0,4.0,13.0,20.0,14.0,6.0,4.0,5.0,7.0,9.0,0.0,5.0,8.0,16.0,7.0,11.0,8.0,4.0,20.0,9.0,40.0,22.0,10.0,19.0,12.0,19.0,14.0,17.0,9.0,4.0,10.0,2.0,8.0,0.0,9.0,6.0,27.0,5.0,2.0,3.0,28.0,16.0,14.0,14.0,4.0,36.0,6.0,14.0,6.0,2.0,14.0,12.0,16.0,20.0,24.0,11.0,20.0,2.0,17.0,11.0,8.0,26.0,5.0,5.0,8.0,4.0,4.0,22.0,5.0,19.0,3.0,13.0,3.0,3.0,24.0,6.0,11.0,4.0,7.0,10.0,16.0,5.0,7.0,18.0,1.0,20.0,30.0,6.0,7.0,4.0,24.0,14.0,11.0,16.0,4.0,7.0,18.0,21.0,20.0,4.0,1.0,4.0,27.0,2.0,9.0,10.0,21.0,7.0,10.0,8.0,4.0,4.0,7.0,8.0,4.0,10.0,24.0,4.0,26.0,5.0,4.0,15.0,12.0,20.0,11.0,6.0,5.0,6.0,13.0,8.0,14.0,9.0,26.0
DEVIL,16.0,24.0,5.0,1.0,15.0,10.0,1.0,28.0,2.0,3.0,8.0,4.0,14.0,4.0,16.0,4.0,10.0,3.0,0.0,3.0,3.0,1.0,6.0,7.0,7.0,10.0,10.0,9.0,12.0,6.0,6.0,4.0,3.0,8.0,7.0,5.0,18.0,3.0,8.0,2.0,6.0,8.0,19.0,6.0,10.0,40.0,2.0,8.0,4.0,3.0,25.0,1.0,5.0,3.0,16.0,14.0,13.0,8.0,23.0,15.0,4.0,5.0,2.0,9.0,15.0,9.0,5.0,2.0,7.0,5.0,4.0,1.0,5.0,3.0,9.0,4.0,9.0,8.0,5.0,13.0,5.0,34.0,17.0,6.0,18.0,11.0,10.0,9.0,16.0,6.0,7.0,9.0,0.0,6.0,0.0,6.0,6.0,20.0,3.0,3.0,2.0,18.0,16.0,9.0,8.0,2.0,30.0,3.0,6.0,6.0,3.0,10.0,9.0,7.0,14.0,16.0,9.0,12.0,3.0,14.0,14.0,9.0,22.0,5.0,4.0,7.0,3.0,4.0,14.0,1.0,15.0,2.0,11.0,3.0,1.0,21.0,3.0,7.0,4.0,1.0,4.0,6.0,7.0,5.0,15.0,1.0,13.0,25.0,4.0,3.0,2.0,15.0,12.0,9.0,8.0,5.0,7.0,14.0,12.0,20.0,2.0,1.0,3.0,16.0,0.0,6.0,7.0,15.0,5.0,8.0,2.0,4.0,2.0,7.0,5.0,5.0,8.0,12.0,2.0,20.0,3.0,1.0,13.0,9.0,12.0,12.0,6.0,4.0,2.0,14.0,6.0,12.0,4.0,18.0
DISGUISE,7.0,8.0,1.0,0.0,4.0,4.0,0.0,8.0,2.0,1.0,5.0,0.0,6.0,2.0,5.0,5.0,4.0,2.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,6.0,4.0,6.0,6.0,1.0,5.0,4.0,1.0,5.0,1.0,0.0,7.0,1.0,4.0,2.0,5.0,3.0,8.0,6.0,3.0,2.0,18.0,5.0,1.0,2.0,9.0,1.0,0.0,3.0,9.0,7.0,1.0,2.0,14.0,2.0,6.0,1.0,0.0,3.0,7.0,5.0,4.0,2.0,2.0,5.0,5.0,0.0,4.0,4.0,5.0,1.0,2.0,2.0,1.0,2.0,4.0,14.0,7.0,5.0,5.0,4.0,4.0,4.0,8.0,3.0,3.0,5.0,0.0,3.0,0.0,6.0,1.0,12.0,0.0,2.0,2.0,8.0,5.0,5.0,6.0,1.0,15.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,6.0,7.0,5.0,4.0,1.0,7.0,3.0,6.0,5.0,6.0,1.0,5.0,1.0,1.0,9.0,2.0,5.0,0.0,9.0,1.0,0.0,10.0,2.0,2.0,3.0,1.0,3.0,6.0,5.0,2.0,5.0,0.0,5.0,10.0,6.0,2.0,4.0,8.0,3.0,3.0,8.0,2.0,4.0,6.0,6.0,7.0,1.0,0.0,1.0,11.0,0.0,5.0,4.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,3.0,6.0,2.0,9.0,1.0,1.0,5.0,1.0,8.0,6.0,5.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0
DOG,10.0,24.0,6.0,1.0,12.0,11.0,2.0,23.0,1.0,6.0,10.0,4.0,16.0,8.0,17.0,6.0,9.0,4.0,0.0,4.0,5.0,2.0,8.0,10.0,9.0,10.0,13.0,12.0,15.0,5.0,10.0,5.0,3.0,11.0,5.0,6.0,14.0,3.0,9.0,3.0,8.0,7.0,23.0,7.0,9.0,8.0,5.0,35.0,4.0,4.0,18.0,3.0,2.0,4.0,16.0,18.0,15.0,7.0,25.0,11.0,6.0,4.0,4.0,7.0,15.0,11.0,3.0,2.0,6.0,9.0,7.0,1.0,4.0,3.0,13.0,6.0,13.0,6.0,6.0,13.0,13.0,28.0,15.0,11.0,17.0,8.0,9.0,13.0,16.0,8.0,6.0,10.0,3.0,6.0,0.0,13.0,2.0,19.0,4.0,4.0,4.0,16.0,14.0,15.0,6.0,5.0,27.0,6.0,8.0,7.0,2.0,14.0,4.0,16.0,18.0,19.0,11.0,15.0,1.0,15.0,11.0,8.0,21.0,6.0,7.0,11.0,5.0,4.0,11.0,3.0,9.0,3.0,10.0,2.0,4.0,18.0,5.0,6.0,6.0,4.0,9.0,10.0,5.0,4.0,14.0,3.0,15.0,26.0,8.0,4.0,2.0,17.0,13.0,9.0,13.0,4.0,8.0,15.0,15.0,17.0,4.0,1.0,2.0,20.0,4.0,13.0,11.0,13.0,10.0,12.0,4.0,6.0,2.0,5.0,8.0,4.0,11.0,17.0,3.0,20.0,2.0,3.0,13.0,6.0,15.0,10.0,7.0,6.0,6.0,9.0,7.0,17.0,8.0,17.0
DOOR,11.0,14.0,3.0,2.0,11.0,11.0,4.0,19.0,0.0,2.0,5.0,1.0,9.0,2.0,9.0,4.0,5.0,3.0,1.0,3.0,4.0,2.0,5.0,10.0,6.0,5.0,9.0,12.0,15.0,3.0,7.0,7.0,2.0,11.0,3.0,1.0,18.0,4.0,7.0,3.0,3.0,3.0,12.0,4.0,5.0,4.0,1.0,4.0,30.0,1.0,14.0,2.0,2.0,4.0,10.0,8.0,9.0,4.0,15.0,8.0,6.0,5.0,2.0,7.0,11.0,7.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,6.0,0.0,5.0,2.0,4.0,12.0,4.0,23.0,14.0,6.0,17.0,7.0,7.0,7.0,6.0,15.0,1.0,4.0,2.0,5.0,1.0,8.0,5.0,17.0,1.0,5.0,2.0,12.0,7.0,8.0,8.0,3.0,25.0,3.0,6.0,3.0,0.0,12.0,7.0,6.0,9.0,18.0,3.0,14.0,2.0,11.0,5.0,11.0,16.0,5.0,3.0,5.0,3.0,5.0,17.0,3.0,16.0,0.0,4.0,0.0,2.0,15.0,5.0,9.0,6.0,2.0,5.0,10.0,4.0,4.0,10.0,1.0,15.0,23.0,2.0,2.0,1.0,18.0,8.0,6.0,16.0,2.0,7.0,11.0,10.0,17.0,0.0,1.0,3.0,16.0,1.0,11.0,5.0,9.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,12.0,18.0,2.0,16.0,4.0,1.0,16.0,9.0,11.0,6.0,9.0,8.0,3.0,4.0,2.0,7.0,1.0,18.0
DOVE,9.0,18.0,2.0,2.0,11.0,8.0,5.0,15.0,1.0,3.0,4.0,5.0,11.0,8.0,10.0,3.0,10.0,5.0,1.0,3.0,2.0,1.0,4.0,10.0,4.0,6.0,5.0,7.0,7.0,5.0,4.0,4.0,2.0,7.0,3.0,1.0,9.0,1.0,6.0,2.0,5.0,6.0,12.0,7.0,5.0,3.0,2.0,4.0,1.0,20.0,11.0,4.0,3.0,3.0,12.0,9.0,7.0,6.0,15.0,8.0,4.0,4.0,2.0,7.0,12.0,8.0,6.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,9.0,5.0,10.0,3.0,3.0,13.0,4.0,19.0,13.0,5.0,7.0,9.0,8.0,7.0,9.0,5.0,3.0,7.0,2.0,6.0,0.0,5.0,2.0,16.0,2.0,3.0,2.0,11.0,9.0,7.0,8.0,2.0,15.0,3.0,6.0,4.0,1.0,6.0,7.0,8.0,7.0,10.0,7.0,13.0,2.0,7.0,6.0,4.0,13.0,3.0,3.0,6.0,3.0,4.0,10.0,4.0,12.0,1.0,8.0,3.0,3.0,12.0,5.0,3.0,3.0,1.0,4.0,7.0,3.0,5.0,7.0,1.0,13.0,14.0,3.0,3.0,2.0,10.0,8.0,6.0,9.0,4.0,8.0,7.0,9.0,10.0,2.0,0.0,2.0,15.0,2.0,7.0,5.0,12.0,6.0,5.0,2.0,2.0,1.0,3.0,0.0,4.0,5.0,13.0,1.0,10.0,1.0,2.0,13.0,7.0,10.0,7.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,11.0
DRAGON,39.0,74.0,19.0,10.0,42.0,32.0,11.0,81.0,7.0,9.0,24.0,11.0,45.0,19.0,42.0,16.0,26.0,19.0,2.0,13.0,13.0,7.0,16.0,29.0,23.0,31.0,35.0,33.0,36.0,14.0,24.0,14.0,6.0,25.0,19.0,8.0,48.0,7.0,35.0,7.0,16.0,24.0,46.0,20.0,24.0,25.0,9.0,18.0,14.0,11.0,136.0,8.0,6.0,17.0,53.0,39.0,31.0,22.0,71.0,38.0,15.0,16.0,6.0,27.0,60.0,28.0,20.0,6.0,16.0,16.0,17.0,4.0,20.0,13.0,36.0,10.0,37.0,18.0,11.0,47.0,16.0,102.0,56.0,25.0,41.0,28.0,39.0,33.0,43.0,24.0,9.0,24.0,6.0,13.0,1.0,24.0,16.0,66.0,2.0,9.0,12.0,57.0,46.0,44.0,22.0,8.0,100.0,10.0,19.0,20.0,5.0,30.0,27.0,37.0,43.0,52.0,27.0,41.0,5.0,42.0,23.0,23.0,71.0,8.0,14.0,26.0,10.0,8.0,47.0,10.0,61.0,9.0,34.0,5.0,7.0,63.0,9.0,13.0,12.0,7.0,21.0,30.0,21.0,13.0,47.0,3.0,49.0,92.0,18.0,11.0,8.0,51.0,42.0,21.0,39.0,8.0,26.0,48.0,42.0,51.0,9.0,3.0,10.0,64.0,6.0,29.0,27.0,43.0,26.0,23.0,9.0,10.0,3.0,19.0,14.0,12.0,23.0,52.0,10.0,63.0,10.0,5.0,46.0,23.0,35.0,37.0,16.0,9.0,8.0,30.0,14.0,33.0,12.0,52.0
DRINK,4.0,13.0,2.0,2.0,12.0,5.0,1.0,13.0,1.0,1.0,1.0,1.0,10.0,4.0,8.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,2.0,5.0,5.0,3.0,7.0,2.0,1.0,8.0,2.0,7.0,5.0,6.0,5.0,10.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,8.0,19.0,0.0,3.0,11.0,5.0,4.0,3.0,8.0,7.0,1.0,2.0,1.0,5.0,10.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,8.0,5.0,6.0,0.0,3.0,9.0,3.0,14.0,7.0,4.0,7.0,6.0,7.0,6.0,6.0,4.0,2.0,6.0,3.0,2.0,0.0,5.0,3.0,11.0,1.0,1.0,2.0,8.0,7.0,7.0,6.0,4.0,15.0,3.0,2.0,5.0,1.0,8.0,2.0,6.0,7.0,11.0,7.0,9.0,1.0,6.0,5.0,4.0,10.0,2.0,3.0,3.0,0.0,2.0,4.0,2.0,11.0,3.0,4.0,0.0,3.0,6.0,2.0,2.0,6.0,2.0,4.0,3.0,4.0,3.0,6.0,1.0,7.0,10.0,3.0,1.0,1.0,8.0,6.0,3.0,8.0,1.0,3.0,6.0,8.0,9.0,1.0,1.0,1.0,10.0,0.0,7.0,7.0,8.0,1.0,5.0,2.0,2.0,3.0,5.0,0.0,4.0,4.0,6.0,1.0,10.0,2.0,0.0,4.0,5.0,9.0,8.0,3.0,0.0,1.0,7.0,3.0,4.0,0.0,9.0
DUST,4.0,7.0,1.0,2.0,7.0,5.0,1.0,11.0,0.0,2.0,3.0,4.0,6.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,6.0,4.0,2.0,5.0,1.0,1.0,5.0,2.0,4.0,7.0,0.0,3.0,1.0,4.0,3.0,9.0,3.0,6.0,5.0,0.0,2.0,2.0,3.0,6.0,0.0,16.0,3.0,7.0,5.0,5.0,3.0,9.0,7.0,2.0,2.0,2.0,2.0,9.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,6.0,2.0,2.0,6.0,2.0,13.0,7.0,4.0,7.0,4.0,3.0,4.0,6.0,4.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,10.0,2.0,1.0,0.0,8.0,5.0,5.0,2.0,0.0,14.0,2.0,3.0,4.0,0.0,5.0,6.0,4.0,8.0,8.0,4.0,8.0,2.0,4.0,4.0,2.0,5.0,2.0,1.0,3.0,1.0,3.0,7.0,1.0,4.0,1.0,4.0,2.0,0.0,9.0,1.0,4.0,3.0,2.0,2.0,7.0,2.0,2.0,5.0,0.0,8.0,9.0,2.0,3.0,1.0,11.0,6.0,3.0,7.0,1.0,3.0,4.0,7.0,8.0,0.0,1.0,1.0,8.0,0.0,3.0,3.0,9.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,1.0,9.0,0.0,0.0,6.0,7.0,9.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0
DWARF,7.0,12.0,3.0,3.0,9.0,7.0,1.0,14.0,3.0,3.0,4.0,3.0,9.0,3.0,8.0,5.0,4.0,4.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,10.0,10.0,6.0,8.0,4.0,8.0,4.0,3.0,9.0,5.0,1.0,10.0,3.0,11.0,4.0,5.0,3.0,13.0,6.0,5.0,3.0,3.0,4.0,4.0,3.0,17.0,3.0,3.0,23.0,12.0,5.0,4.0,3.0,13.0,9.0,7.0,3.0,3.0,4.0,14.0,5.0,4.0,4.0,6.0,7.0,7.0,0.0,2.0,5.0,17.0,2.0,4.0,5.0,3.0,9.0,5.0,16.0,9.0,6.0,8.0,6.0,8.0,7.0,9.0,9.0,2.0,6.0,1.0,3.0,0.0,7.0,4.0,13.0,1.0,2.0,3.0,8.0,7.0,10.0,4.0,2.0,17.0,5.0,6.0,10.0,1.0,8.0,4.0,8.0,9.0,10.0,6.0,9.0,1.0,6.0,2.0,4.0,7.0,4.0,4.0,4.0,3.0,4.0,9.0,3.0,9.0,0.0,7.0,2.0,1.0,10.0,3.0,7.0,5.0,2.0,7.0,7.0,5.0,5.0,11.0,0.0,9.0,15.0,7.0,5.0,2.0,11.0,8.0,7.0,11.0,2.0,6.0,6.0,11.0,11.0,1.0,1.0,3.0,9.0,1.0,10.0,9.0,9.0,4.0,6.0,4.0,2.0,2.0,8.0,1.0,6.0,6.0,15.0,3.0,12.0,1.0,3.0,8.0,5.0,10.0,5.0,5.0,3.0,6.0,5.0,3.0,8.0,6.0,7.0
EAGLE,39.0,63.0,10.0,7.0,39.0,30.0,11.0,63.0,4.0,7.0,20.0,7.0,48.0,22.0,39.0,15.0,19.0,18.0,2.0,10.0,12.0,6.0,15.0,22.0,20.0,31.0,26.0,28.0,26.0,11.0,21.0,15.0,10.0,26.0,10.0,7.0,42.0,4.0,32.0,6.0,19.0,21.0,40.0,20.0,21.0,16.0,9.0,16.0,10.0,12.0,53.0,11.0,7.0,12.0,97.0,33.0,28.0,24.0,62.0,38.0,11.0,19.0,5.0,23.0,42.0,22.0,18.0,6.0,17.0,14.0,16.0,4.0,13.0,11.0,31.0,10.0,28.0,15.0,10.0,39.0,17.0,80.0,46.0,18.0,34.0,26.0,32.0,26.0,38.0,18.0,8.0,18.0,5.0,14.0,0.0,24.0,14.0,53.0,6.0,5.0,8.0,44.0,38.0,36.0,21.0,12.0,75.0,9.0,18.0,15.0,4.0,27.0,19.0,35.0,31.0,51.0,21.0,43.0,7.0,30.0,20.0,15.0,48.0,9.0,11.0,26.0,7.0,10.0,36.0,6.0,42.0,8.0,28.0,5.0,7.0,48.0,10.0,11.0,17.0,6.0,19.0,26.0,17.0,10.0,33.0,3.0,40.0,68.0,16.0,9.0,9.0,50.0,31.0,19.0,38.0,11.0,20.0,32.0,42.0,41.0,4.0,3.0,11.0,52.0,2.0,22.0,22.0,43.0,18.0,22.0,11.0,8.0,6.0,21.0,12.0,11.0,20.0,42.0,8.0,49.0,7.0,5.0,32.0,21.0,43.0,28.0,15.0,8.0,10.0,30.0,14.0,25.0,12.0,45.0
EARTH,49.0,57.0,15.0,3.0,41.0,26.0,12.0,91.0,2.0,5.0,25.0,6.0,32.0,23.0,29.0,12.0,33.0,9.0,3.0,12.0,7.0,8.0,10.0,19.0,15.0,20.0,17.0,27.0,29.0,7.0,12.0,11.0,8.0,17.0,7.0,9.0,37.0,4.0,19.0,6.0,16.0,17.0,45.0,11.0,18.0,14.0,7.0,18.0,8.0,9.0,39.0,5.0,5.0,5.0,33.0,141.0,39.0,16.0,87.0,24.0,6.0,16.0,3.0,16.0,50.0,19.0,16.0,5.0,8.0,10.0,14.0,6.0,15.0,7.0,20.0,7.0,28.0,12.0,11.0,40.0,7.0,118.0,42.0,22.0,65.0,21.0,20.0,26.0,25.0,15.0,9.0,16.0,5.0,16.0,1.0,18.0,12.0,61.0,6.0,7.0,5.0,62.0,48.0,27.0,28.0,9.0,106.0,7.0,16.0,10.0,5.0,15.0,26.0,33.0,31.0,50.0,17.0,29.0,5.0,34.0,26.0,15.0,83.0,8.0,10.0,31.0,10.0,4.0,55.0,4.0,43.0,4.0,19.0,6.0,5.0,68.0,7.0,10.0,8.0,1.0,17.0,30.0,15.0,6.0,32.0,4.0,48.0,90.0,8.0,6.0,7.0,41.0,32.0,7.0,32.0,10.0,15.0,49.0,29.0,38.0,9.0,3.0,5.0,60.0,4.0,17.0,18.0,36.0,19.0,14.0,13.0,7.0,6.0,15.0,14.0,8.0,17.0,54.0,3.0,64.0,8.0,2.0,41.0,31.0,29.0,28.0,12.0,9.0,5.0,21.0,11.0,22.0,10.0,63.0
EGYPT,32.0,41.0,12.0,4.0,27.0,18.0,6.0,65.0,2.0,4.0,22.0,3.0,25.0,19.0,23.0,13.0,28.0,12.0,2.0,5.0,5.0,5.0,6.0,13.0,15.0,18.0,10.0,27.0,20.0,6.0,13.0,6.0,7.0,15.0,5.0,10.0,35.0,2.0,17.0,2.0,11.0,14.0,36.0,13.0,12.0,13.0,1.0,15.0,9.0,7.0,31.0,4.0,5.0,4.0,28.0,39.0,113.0,9.0,59.0,22.0,8.0,13.0,4.0,7.0,31.0,16.0,10.0,2.0,7.0,8.0,7.0,4.0,4.0,10.0,14.0,5.0,21.0,10.0,6.0,32.0,11.0,93.0,42.0,18.0,37.0,17.0,14.0,21.0,19.0,14.0,4.0,15.0,3.0,10.0,1.0,17.0,11.0,43.0,1.0,5.0,3.0,40.0,27.0,20.0,14.0,5.0,79.0,6.0,10.0,8.0,2.0,17.0,13.0,27.0,26.0,33.0,12.0,23.0,3.0,22.0,14.0,9.0,56.0,2.0,9.0,24.0,4.0,5.0,41.0,1.0,29.0,3.0,21.0,4.0,4.0,57.0,5.0,9.0,8.0,1.0,13.0,24.0,12.0,7.0,28.0,4.0,37.0,84.0,8.0,5.0,1.0,30.0,25.0,12.0,21.0,6.0,13.0,42.0,22.0,35.0,7.0,3.0,5.0,44.0,4.0,17.0,8.0,27.0,17.0,12.0,9.0,3.0,5.0,14.0,14.0,12.0,11.0,38.0,3.0,45.0,2.0,5.0,26.0,18.0,25.0,18.0,15.0,10.0,6.0,7.0,8.0,15.0,7.0,40.0
EMPEROR,14.0,26.0,4.0,5.0,13.0,10.0,5.0,27.0,0.0,3.0,10.0,3.0,18.0,7.0,15.0,5.0,6.0,10.0,1.0,3.0,4.0,3.0,5.0,11.0,8.0,13.0,10.0,11.0,14.0,7.0,9.0,6.0,4.0,16.0,6.0,1.0,16.0,2.0,12.0,3.0,8.0,10.0,16.0,3.0,10.0,8.0,2.0,7.0,4.0,6.0,22.0,3.0,3.0,3.0,24.0,16.0,9.0,44.0,26.0,10.0,6.0,7.0,3.0,13.0,15.0,7.0,9.0,3.0,6.0,7.0,5.0,1.0,8.0,4.0,13.0,4.0,11.0,4.0,3.0,20.0,8.0,41.0,23.0,8.0,11.0,8.0,12.0,13.0,15.0,6.0,4.0,8.0,3.0,7.0,1.0,8.0,6.0,24.0,2.0,1.0,3.0,17.0,16.0,12.0,10.0,6.0,30.0,4.0,8.0,3.0,0.0,13.0,10.0,12.0,10.0,21.0,10.0,15.0,4.0,13.0,10.0,9.0,19.0,2.0,4.0,6.0,2.0,5.0,13.0,4.0,20.0,5.0,10.0,1.0,4.0,18.0,6.0,3.0,7.0,3.0,9.0,7.0,7.0,6.0,15.0,1.0,14.0,31.0,4.0,2.0,1.0,19.0,8.0,12.0,14.0,3.0,13.0,13.0,16.0,19.0,3.0,2.0,8.0,22.0,2.0,7.0,12.0,16.0,10.0,8.0,7.0,2.0,2.0,10.0,4.0,3.0,8.0,17.0,3.0,20.0,2.0,1.0,15.0,11.0,12.0,13.0,7.0,2.0,4.0,10.0,4.0,12.0,7.0,20.0
