,Source,Target,Weight
609,Penelope,Home,4
610,Telemachus,None,4
611,Antiphates,Oïcleus,4
612,Ulysses,Swine-herd,4
613,Telemachus,Thine,4
614,Lord,Hands,4
615,Laertes,Ulysses,4
616,Eumæus,Women,4
617,Ulysses,Custom,4
618,Ulysses,Tatters,4
619,Antinoüs,Stranger,4
620,Penelope,Nurse,4
621,Penelope,Her,4
622,Queen,Return,4
623,Penelope,Stranger,4
624,Ulysses,Cup-bearer,4
625,Ulysses,Deed,4
626,Ulysses,Himself,4
627,Ulysses,Fire,4
628,Ulysses,Suitor,4
629,Ulysses,Respect,4
630,Ulysses,Herdsman,4
631,Mentor,Son,4
632,Ulysses,Suit,4
633,Ithaca,Minerva,3
634,Telemachus,Book,3
635,Goddess,Year,3
636,Ithaca,People,3
637,Gods,Godlike,3
638,Neptune,Wrath,3
639,Neptune,Shores,3
640,Jove,Earth,3
641,Sire,Slain,3
642,Hermes,Son,3
643,Pallas,Death,3
644,Ithaca,Jove,3
645,Jove,Fleet,3
646,Ulysses,Achaia,3
647,Ulysses,Fleet,3
648,Achaia,Fleet,3
649,Achaia,Jove,3
650,Troy,Hath,3
651,Troy,Word,3
652,Jove,Him,3
653,God,Word,3
654,God,Pass,3
655,God,Lips,3
656,God,Daughter,3
657,Cyclops,Race,3
658,Ulysses,Nymph,3
659,Neptune,Force,3
660,Gods,Goddess,3
661,Minerva,Wise,3
662,Goddess,Home,3
663,Immortals,Hence,3
664,Ulysses,Divine,3
665,Chief,Achaians,3
666,Sparta,Tidings,3
667,Sparta,Sire,3
668,Ulysses,Hall,3
669,Telemachus,Perchance,3
670,Sire,Palace,3
671,Hero,Home,3
672,Pallas,Roof,3
673,Sire,Hands,3
674,Phemius,Song,3
675,Goddess,Song,3
676,Ithaca,Foot,3
677,Ithaca,Hast,3
678,Goddess,Thy,3
679,Sire,Homeward,3
680,Sire,Course,3
681,Gods,Boundless,3
682,Chief,Race,3
683,Ulysses,Face,3
684,Ulysses,Ere,3
685,Sire,Troy,3
686,Troy,Achaia,3
687,Troy,Him,3
688,Troy,Telemachus,3
689,Ilium,Fall,3
690,Gods,Samos,3
691,Dulichium,Others,3
692,Dulichium,Rulers,3
693,Dulichium,Ithaca,3
694,Dulichium,Household,3
695,Dulichium,Stores,3
696,Ithaca,Mother,3
697,Ithaca,Seek,3
698,Ithaca,Household,3
699,Ulysses,Arrows,3
700,Gods,Shalt,3
701,Gods,Mother,3
702,Sire,Jove,3
703,Sire,Thine,3
704,Jove,Thine,3
705,Jove,Pylus,3
706,Jove,Nestor,3
707,Jove,Thence,3
708,Menelaus,Host,3
709,Greece,Thou,3
710,Sire,God,3
711,God,Hero,3
712,Pallas,Icarius,3
713,Pallas,Palace,3
714,Gods,Theme,3
715,Gods,Their,3
716,Troy,Chief,3
717,Ulysses,Perish,3
718,Ulysses,Her,3
719,Minerva,Lids,3
720,Minerva,Sleep,3
721,Gods,Hope,3
722,Gods,Doom,3
723,Antinoüs,Gods,3
724,Ithaca,Speech,3
725,King,House,3
726,Ulysses,Polybus,3
727,Polybus,Thou,3
728,Chief,Meantime,3
729,Gods,Hast,3
730,Gods,May,3
731,Chief,Goddess,3
732,Goddess,Skies,3
733,Telemachus,Heart,3
734,Ulysses,Purpose,3
735,Minerva,Form,3
736,East,Ulysses,3
737,East,Bed,3
738,East,Sandals,3
739,Ulysses,Bed,3
740,Greeks,Himself,3
741,Minerva,Grace,3
742,Ulysses,Cave,3
743,Cyclops,Flesh,3
744,Ithaca,Friends,3
745,Chief,Which,3
746,Sire,Daughter,3
747,Ulysses,Family,3
748,Ulysses,Wrongs,3
749,Hero,Prepare,3
750,Hero,Hour,3
751,Hero,Fate,3
752,Hero,Censure,3
753,Hero,Dread,3
754,Greeks,Thy,3
755,Greeks,Charge,3
756,Greeks,Father,3
757,Gods,Woe,3
758,Gods,Mankind,3
759,Gods,Word,3
760,Greeks,Woes,3
761,Eurymachus,Thy,3
762,Jove,Himself,3
763,Ulysses,Mute,3
764,Goddess,Deep,3
765,Deep,Ithaca,3
766,Pallas,Accents,3
767,Pallas,Shalt,3
768,Pallas,Spake,3
769,Jove,Heart,3
770,Antinoüs,Hand,3
771,Achaians,Thee,3
772,Pylus,Telemachus,3
773,Sire,Telemachus,3
774,Telemachus,Guests,3
