,Source,Target,Weight
702,Hector,Allies,6
703,Priam,Chief,6
704,Chief,War,6
705,Hector,Multitude,6
706,Ilium,Plain,6
707,Gods,Fight,6
708,Hector,Fierce,6
709,Venus,Goddess,6
710,Stood,Forth,6
711,Troy,Mars,6
712,Chief,Whom,6
713,Troy,Argos,6
714,Greeks,From,6
715,Greece,Chief,6
716,Chief,Grecians,6
717,Paris,War,6
718,Hector,Haste,6
719,Priam,Fleet,6
720,Greeks,Side,6
721,Mars,War,6
722,Mars,Hath,6
723,Troy,Menelaus,6
724,Priam,Thee,6
725,Chiefs,Ilium,6
726,Helen,Paris,6
727,Paris,Troy,6
728,Trojan,Jove,6
729,Trojans,Ilium,6
730,Trojans,Return,6
731,Ilium,Arms,6
732,Hector,Who,6
733,Troy,Helen,6
734,King,Troy,6
735,Troy,House,6
736,Troy,People,6
737,Thou,Trojans,6
738,Thou,Troy,6
739,Menelaus,Thy,6
740,Greeks,Hath,6
741,Shall,Jove,6
742,Chiefs,Argos,6
743,Chief,Right,6
744,Chief,Valiant,6
745,Tydides,Son,6
746,Mars,Host,6
747,Greeks,Phalanx,6
748,Ajax,Slew,6
749,Whom,Son,6
750,Mars,Diomede,6
751,Diomede,Force,6
752,Trojans,Fight,6
753,Troy,Night,6
754,Priam,Hand,6
755,God,Trojans,6
756,Trojans,Steeds,6
757,Hector,Eyes,6
758,Troy,Sire,6
759,Thy,Steeds,6
760,Tydides,Diomede,6
761,Æneas,Shield,6
762,Diomede,Arms,6
763,Pallas,Dread,6
764,Jove,Field,6
765,Venus,Daughter,6
766,Juno,Son,6
767,God,Fight,6
768,Ilium,Gates,6
769,Sarpedon,Hector,6
770,Hector,Courage,6
771,Grecians,Night,6
772,Grecians,Scatter,6
773,Æneas,Sons,6
774,Nestor,Antilochus,6
775,Nestor,Host,6
776,Hector,Phalanx,6
777,Hector,Powers,6
778,Hector,Him,6
779,Ajax,Slain,6
780,Tlepolemus,Sarpedon,6
781,Him,Field,6
782,Jove,Spear,6
783,Sarpedon,Friend,6
784,Mars,Hector,6
785,Whom,Hector,6
786,Hector,Mars,6
787,Pallas,Juno,6
788,Juno,Steeds,6
789,Trojan,Spear,6
790,Gods,Spear,6
791,Him,Mars,6
792,Troy,Hand,6
793,Him,Side,6
794,Paris,Hector,6
795,Trojan,Ranks,6
796,Chief,Lance,6
797,Menelaus,Steeds,6
798,Troy,Towers,6
799,Tydeus,Host,6
800,Trojans,Friends,6
801,Diomede,Art,6
802,Achaians,Host,6
803,Troy,Spear,6
804,Hector,Achaians,6
805,Pallas,Daughter,6
806,Ilium,God,6
807,Ilium,Thou,6
808,Troy,City,6
809,Hector,Hope,6
810,Hector,Art,6
811,Grecians,Book,6
812,Idomeneus,Mars,6
813,Hector,King,6
814,Jove,Ajax,6
815,Hector,Renown,6
816,Jove,War,6
817,Apollo,Gods,6
818,Gods,Ilium,6
819,Neptune,Earth,6
820,Greeks,Shall,6
821,Hector,Charioteer,6
822,Trojans,City,6
823,Ajax,Nestor,6
824,Hector,Rage,6
825,Nestor,Jove,6
826,Lycians,Sons,6
827,Lycians,Dardanus,6
828,Cebriones,Hector,6
829,Jove,Haste,6
830,Hector,War,6
831,Achilles,Ships,6
832,Shall,Battle,6
833,Hector,Brass,6
834,Trojans,Night,6
835,Thy,Day,6
836,Achilles,Sake,6
837,Achilles,Mind,6
838,King,Gifts,6
839,Jove,Ulysses,6
840,Automedon,Achilles,6
841,Achilles,Meantime,6
842,Chief,Death,6
843,Peleus,Thee,6
844,Peleus,Hath,6
845,Jove,Against,6
846,Achilles,Brave,6
847,Greeks,Friends,6
848,Achilles,From,6
849,Trojans,Ships,6
850,Ulysses,Steeds,6
851,Jove,Nestor,6
852,Patroclus,Armor,6
853,Hector,Polydamas,6
854,Hector,Front,6
855,Trojans,Hands,6
856,Greece,Achilles,6
857,Achilles,Heart,6
858,Greeks,Foes,6
859,Meriones,Spear,6
860,Idomeneus,Tent,6
861,Meriones,Battle,6
862,Deiphobus,Idomeneus,6
863,Priam,God,6
864,Idomeneus,Lance,6
865,Venus,Jove,6
866,Vulcan,Son,6
867,Jove,Aid,6
868,Phoebus,Hector,6
869,Gods,Arms,6
870,Peleus,Arms,6
871,Phoebus,Son,6
872,Achilles,Head,6
873,God,Achilles,6
874,Hector,Form,6
875,Ilium,Fear,6
876,Achilles,Whom,6
877,Achilles,Blood,6
878,Achilles,Æneas,6
879,Mercury,Achilles,6
880,Achilles,Achaia,5
881,Achilles,Soul,5
882,Achaia,Heroes,5
883,Achilles,Power,5
884,King,Host,5
885,Atreus,Host,5
886,Phoebus,Bow,5
887,God,Silver,5
888,Nine,Days,5
889,Achilles,Sight,5
890,Achilles,God,5
891,Agamemnon,Gifts,5
892,Agamemnon,Heart,5
893,Achilles,Rank,5
894,Achilles,Art,5
895,God,Troy,5
896,Idomeneus,Ajax,5
897,Idomeneus,Thou,5
898,Trojan,Steeds,5
899,Trojan,Thy,5
900,Minerva,Daughter,5
901,Pallas,Gods,5
902,Jove,Oath,5
903,Hector,Soul,5
904,King,Agamemnon,5
905,Greeks,Atreus,5
906,Shall,War,5
907,Myrmidons,Fleet,5
908,Achilles,Haste,5
909,Greeks,Lot,5
910,Atreus,Achaia,5
911,Pallas,Goddess,5
912,Thunderer,Thou,5
913,Jove,None,5
914,Gods,None,5
915,Juno,Daughter,5
916,Jove,Saturn,5
917,Ocean,Sovereign,5
918,Sovereign,Jove,5
919,Achilles,Thetis,5
920,Thetis,Achilles,5
921,Achaians,Ilium,5
922,Achaia,Son,5
923,Him,Tent,5
924,Troy,Fate,5
925,Greeks,First,5
926,Friends,Counsellors,5
927,Friends,Greeks,5
928,Jove,Atreus,5
929,Ilium,Home,5
930,Trojans,Firm,5
931,Troy,Firm,5
932,Troy,Defence,5
933,Shall,Ilium,5
934,Greeks,Haste,5
935,Greeks,Thy,5
936,Agamemnon,Achaia,5
937,Kings,Greece,5
938,Achilles,Ulysses,5
939,Grecians,Thou,5
940,Thou,Grecians,5
941,Achaians,War,5
942,Agamemnon,War,5
943,Agamemnon,Thy,5
944,Argos,Jove,5
945,Ilium,Day,5
946,Gods,Chief,5
947,Gods,Achaia,5
948,Atrides,Chief,5
949,King,Chief,5
950,Pallas,Apollo,5
951,Ajax,Heroic,5
952,Ulysses,Jove,5
953,Jove,Menelaus,5
954,Chief,Brother,5
955,Nestor,Men,5
956,Achaians,Fleet,5
957,Greeks,People,5
958,Stood,Jove,5
959,Jove,Daughters,5
960,God,Mars,5
961,Mars,Arms,5
962,Capaneus,Son,5
963,Chiefs,Son,5
964,Crete,Meriones,5
965,Sent,Forth,5
966,Meriones,Arms,5
967,Chief,Slain,5
968,Eurypylus,Son,5
969,Achilles,Steeds,5
970,Jove,Ground,5
971,Jove,Iris,5
972,Trojans,Priam,5
973,Hector,All,5
974,Pandarus,Son,5
975,Mars,Sons,5
976,Sarpedon,Glaucus,5
977,Paris,Menelaus,5
978,Trojan,Van,5
979,Menelaus,Hand,5
980,Hector,Which,5
981,Achaia,Hector,5
982,Greeks,Voice,5
983,Agamemnon,Sons,5
