Source,Target
hand,sword
hand,temple
hand,throne
hand,tree
hand,trident
hand,trumpet
hand,water
hand,weapons
hand,wine
hare,animals
hare,hawk
hare,hunter
hare,seasons
harp,swan
hat,helmet
hat,minstrel
hawk,figures
head,apollo
head,ass
head,bird
head,boar
head,bull
head,centre
head,clothes
head,crown
head,devil
head,dragon
head,eagle
head,eye
head,figures
head,fish
head,hair
head,hat
head,helmet
head,horns
head,house
head,level
head,man
head,minotaur
head,monsters
head,pegasus
head,power
head,serpent
head,temple
head,water
head,white
head,window
head,woman
heart,ark
heart,arrow
heart,cavern
heart,creation
heart,goblet
heart,gold
heart,hunter
heart,love
heart,man
heart,palace
heart,space
hearth,ship
heat,air
heat,ass
heat,cow
heat,elements
heat,fire
heat,sun
heat,sword
heaven,animals
heaven,bell
heaven,birds
heaven,bridge
heaven,bull
heaven,castle
heaven,centre
heaven,chain
heaven,child
heaven,circle
heaven,cow
heaven,dance
heaven,dreams
heaven,egg
heaven,father
heaven,fields
heaven,fish
heaven,harp
heaven,head
heaven,hell
heaven,hole
heaven,king
heaven,labyrinth
heaven,locusts
heaven,lyre
heaven,mountain
heaven,mouth
heaven,music
heaven,neptune
heaven,net
heaven,object
heaven,pearl
heaven,rain
heaven,shape
heaven,smoke
heaven,stag
heaven,steps
heaven,stone
heaven,storm
heaven,temple
heaven,tree
heaven,twilight
heaven,water
heaven,white
hecate,hare
hecate,head
hecate,serpent
hecate,trident
hell,ass
hell,head
hell,journey
hell,mouth
hell,steps
hell,tree
helmet,crest
helmet,emperor
helmet,weapons
herbs,leaf
hero,animals
hero,cloak
hero,dragon
hero,enchantment
hero,giant
hero,hesperides
hero,island
hero,king
hero,laurel
hero,mountain
hero,plough
hero,prince
hero,ship
hero,steps
hero,treasure
hero,weapons
hesperides,twilight
hole,door
hole,time
honey,blood
horns,bull
horns,cow
horns,dragon
horns,hero
horns,lyre
horns,man
horns,ocean
horns,pan
horns,power
horns,stag
horns,wheel
horse,animals
horse,colour
horse,dragon
horse,harp
horse,minotaur
horse,pegasus
horse,steed
horse,swan
hours,twelve
house,boat
house,castle
house,forest
house,king
house,mirror
house,mother
house,room
house,stone
house,temple
house,wall
house,water
hunt,hunter
hunter,water
ice,cavern
image,ark
image,barriers
image,cavern
image,chariot
image,column
image,dance
image,double
image,dove
image,dragon
image,drink
image,dwarf
image,egg
image,elements
image,emperor
image,enclosure
image,fire
image,fountain
image,giant
image,gold
image,head
image,heart
image,heat
image,house
image,invisibility
image,journey
image,justice
image,king
image,lake
image,man
image,mars
image,mask
image,mirror
image,moon
image,mother
image,mountain
image,music
image,twelve
image,ocean
image,plants
image,power
image,room
image,shadow
image,shape
image,spark
image,stars
image,steps
image,stone
image,strength
image,swan
image,temple
image,thunderbolt
image,tower
image,treasure
image,voyage
image,wall
image,war
image,water
image,wheel
image,woman
image,world
instruments,animals
instruments,hell
instruments,music
instruments,object
instruments,power
instruments,trumpet
invisibility,hat
invisibility,helmet
island,garden
island,labyrinth
island,ocean
island,ship
island,temple
ivy,basket
journey,castle
journey,salvation
journey,temple
journey,time
journey,twilight
journey,voyage
jupiter,hero
jupiter,mountain
jupiter,oak
jupiter,ring
jupiter,superiority
jupiter,temple
jupiter,thunderbolt
jupiter,tree
jupiter,wings
justice,animals
justice,hours
justice,steps
justice,wings
king,abyss
king,blood
king,chain
king,colour
king,crown
king,dance
king,giant
king,hand
king,hunter
king,man
king,marriage
king,mountain
king,neptune
king,palace
king,power
king,prince
king,stranger
king,sun
king,twilight
king,white
knife,weapons
labyrinth,intestines
labyrinth,knot
labyrinth,minotaur
labyrinth,voyage
lake,abyss
lake,bird
lake,hunter
lake,labyrinth
lake,styx
lake,water
lake,well
laurel,tree
leopard,animals
level,bite
level,cave
level,city
level,dragon
level,fight
level,fire
level,flight
level,harpies
level,hole
level,lake
level,man
level,narcissus
level,ocean
level,power
level,space
level,steps
level,temple
level,tower
level,tree
level,valley
level,water
level,well
level,woman
life,ages
life,air
life,animals
life,ants
life,ark
life,birds
life,bone
life,box
life,bridge
life,cauldron
life,centre
life,cerberus
life,child
life,column
life,crow
life,crown
life,death
life,deluge
life,desert
life,destruction
life,double
life,eagle
life,egg
life,elements
life,enclosure
life,eve
life,farmer
life,fire
life,fish
life,forest
life,fountain
life,garland
life,giant
life,hare
life,head
life,hero
life,horse
life,house
life,king
life,labyrinth
life,lake
life,lion
life,loss
life,man
life,mars
life,mirror
life,mist
life,monsters
life,mountain
life,ocean
life,pan
life,plants
life,rain
life,reins
life,rock
life,ruins
life,saturn
life,sea
life,serpent
life,shape
life,skull
life,space
life,stag
life,sword
life,teeth
life,thirst
life,tower
life,treasure
life,tree
life,valley
life,vine
life,water
life,weaving
life,well
life,wine
life,world
life,year
light,air
light,animals
light,arrow
light,boar
light,castle
light,centre
light,colour
light,crow
light,crown
light,darkness
light,death
light,dew
light,diadem
light,eagle
light,earth
light,eye
light,father
light,fire
light,flame
light,forest
light,gold
light,halo
light,head
light,heaven
light,king
light,lion
light,man
light,mirror
light,mistletoe
light,monsters
light,music
light,object
light,rain
light,ring
light,scars
light,shadow
light,sound
light,stag
light,star
light,sun
light,sword
light,tree
light,wall
light,war
light,wheel
light,wings
lion,animals
lion,chariot
lion,desert
lion,dog
lion,eagle
lion,gorgon
lion,king
lion,leopard
lion,music
lion,names
lion,stag
lion,strength
lion,triumph
loss,adventure
loss,combat
loss,enchantment
loss,labyrinth
loss,river
loss,teeth
loss,world
love,adventure
love,centre
love,colour
love,column
love,flight
love,hand
love,harp
love,heart
love,hearth
love,king
love,mars
love,mountain
love,venus
love,wings
