,Source,Target,Weight
835,Cheiron,Half,2
836,Cheiron,Man,2
837,Pelias,Years,2
838,Cheiron,Tutor,2
839,Jason,Part,2
840,Pelias,Word,2
841,Jason,River,2
842,Jason,Beauty,2
843,Jason,Flattery,2
844,Pelias,Heart,2
845,Jason,Greek,2
846,Jason,Kingdom,2
847,Jason,Powers,2
848,Athamas,Wife,2
849,Nephele,Athamas,2
850,Athamas,Helle,2
851,Nephele,Ino,2
852,Thereupon,Athamas,2
853,Thereupon,Ino,2
854,Thereupon,Queen,2
855,Athamas,Queen,2
856,Athamas,Land,2
857,Ino,Queen,2
858,Ino,Land,2
859,Ino,Dom,2
860,Phrixus,Land,2
861,Phrixus,Colchis,2
862,Jason,Fire,2
863,Jason,Fame,2
864,Jason,Golden,2
865,Jason,Time,2
866,Argo,Argonauts,2
867,Argo,Shipyard,2
868,Day,Heroes,2
869,Heracles,Others,2
870,Men,Sea,2
871,Heracles,Bent,2
872,Rocks,Clifife,2
873,Rocks,Soil,2
874,Rocks,Clifies,2
875,Argo,Jaws,2
876,Argo,Path,2
877,Argo,Helmsman,2
878,Ares,Myths,2
879,Ares,Brass,2
880,Colchis,Jason,2
881,Colchis,Counsel,2
882,Colchis,Comrades,2
883,Colchis,Let,2
884,Jason,Ship,2
885,Aeetes,Palace,2
886,Jason,Rows,2
887,Medea,Gold,2
888,Medea,Arms,2
889,Hecate,Witch,2
890,Hecate,Goddess,2
891,Jason,Eagerness,2
892,Aeetes,Heroes,2
893,Aeetes,Request,2
894,Aeetes,Sign,2
895,Jason,Aeetes,2
896,Jason,Deed,2
897,Medea,Princess,2
898,Hecate,Woods,2
899,Medea,Greek,2
900,Aeetes,Treachery,2
901,Aeetes,Revenge,2
902,Greece,Sake,2
903,Medea,Tree,2
904,Medea,Serpent,2
905,Argo,Jason,2
906,Argo,Aeetes,2
907,Aeetes,Ships,2
908,Medea,Deed,2
909,Pelias,Fleece,2
910,Medea,Ing,2
911,Medea,Gay,2
912,Medea,Crowds,2
913,Jason,Nothing,2
914,Pelias,Wish,2
915,Jason,Month,2
916,Medea,Pelias,2
917,Pelias,Spells,2
918,Pelias,Sisters,2
919,Pelias,Home,2
920,Jason,Wife,2
921,Medea,Clung,2
922,Medea,Protector,2
923,Quarrels,Jason,2
924,Creon,Jason,2
925,Greece,Jason,2
926,Medea,Chest,2
927,Had,Pity,2
928,Great,Heroes,2
929,Youth,Theseus,2
930,Youth,Heracles,2
931,Theseus,Adventures,2
932,Aethra,Father,2
933,Aethra,Palace,2
934,Aethra,Household,2
935,Troezen,Theseus,2
936,Troezen,Aethra,2
937,Theseus,Day,2
938,Aegeus,Athens,2
939,Aegeus,Theseus,2
940,Athens,Exultation,2
941,Athens,Lover,2
942,Athens,Justice,2
943,Theseus,Justice,2
944,Theseus,Sandals,2
945,Theseus,City,2
946,Theseus,Home,2
947,Theseus,Town,2
948,Theseus,Youth,2
949,Theseus,Bender,2
950,Pine,Bender,2
951,Sinis,Theseus,2
952,Sciron,Theseus,2
953,Theseus,Arm,2
954,Theseus,Grip,2
955,Procrustes,Men,2
956,Procrustes,Bed,2
957,Theseus,Hero,2
958,Aegeus,End,2
959,Aegeus,Land,2
960,Aegeus,Minos,2
961,Aegeus,Crete,2
962,Minos,Crete,2
963,Theseus,Throne,2
964,Medea,Reign,2
965,Medea,Athens,2
966,Meat,Wine,2
967,Theseus,Mind,2
968,Aegeus,Tribute,2
969,Minos,People,2
970,Crete,Cretan,2
971,Crete,Minotaur,2
972,Crete,One,2
973,Cretan,One,2
974,Minotaur,One,2
975,Minotaur,Tribute,2
976,Minos,Theseus,2
977,Theseus,Sea,2
978,Theseus,Athenians,2
979,Aegeus,Sea,2
980,Athenians,Theseus,2
981,None,Theseus,2
982,Ariadne,Theseus,2
983,Labyrinth,Center,2
984,Theseus,Men,2
985,Aegeus,Day,2
986,Amazons,Queen,2
987,Athenians,King,2
988,Heracles,First,2
989,Heracles,Story,2
990,Heracles,Year,2
991,Alcmena,Bed,2
992,Zeus,Hera,2
993,Heracles,Snakes,2
994,Heracles,Neck,2
995,Heracles,Hands,2
996,Iphicles,Lights,2
997,Lights,Amphitryon,2
998,Alcmena,Heracles,2
999,Amphitryon,Heracles,2
1000,Hera,Heracles,2
1001,Eurystheus,Tasks,2
1002,Eurystheus,Man,2
1003,Heracles,Coward,2
1004,Heracles,Profit,2
1005,Heracles,Lands,2
1006,Heracles,Glory,2
1007,Heracles,Ing,2
1008,Heracles,Lair,2
1009,Heracles,Bow,2
1010,Heracles,Monster,2
1011,Heracles,String,2
1012,Heracles,Hand,2
1013,Heracles,Throat,2
1014,Heracles,Vain,2
1015,Heracles,Task,2
1016,Heracles,Sight,2
1017,Hydra,Heads,2
1018,Heracles,Son,2
1019,Heracles,Place,2
1020,Hydra,Blows,2
1021,Heracles,Foot,2
1022,Hydra,Coils,2
1023,Hydra,Fangs,2
1024,Heracles,Back,2
1025,Heracles,Help,2
1026,Heracles,Ten,2
1027,Eurystheus,Ideas,2
1028,Heracles,Something,2
1029,Heracles,Artemis,2
1030,Artemis,Heracles,2
1031,Heracles,Command,2
1032,Mycenae,Heracles,2
1033,Heracles,Mountain,2
1034,Heracles,Cave,2
1035,Heracles,Eyes,2
1036,Heracles,Pholus,2
1037,Heracles,Beasts,2
1038,Heracles,Cup,2
1039,Heracles,Cheiron,2
1040,Zeus,Centaur,2
1041,Mycenae,Eurystheus,2
1042,Eurystheus,Mycenae,2
1043,Eurystheus,Back,2
1044,Heracles,Seventh,2
1045,Labors,Eurystheus,2
1046,Augeas,Day,2
