Source,Target
power,giant
power,hair
power,hand
power,hole
power,minstrel
power,mouth
power,mud
power,one
power,object
power,ocean
power,pegasus
power,relief
power,river
power,secret
power,shepherd
power,smoke
power,stranger
power,sword
power,thunderbolt
power,trident
power,weapons
power,wind
power,wings
procession,boat
procession,disguise
procession,lake
prometheus,fire
relief,cloak
relief,sword
return,cerberus
return,farmer
return,fields
return,fire
return,goose
return,king
return,procession
return,sea
return,ship
return,space
return,steps
return,time
return,water
return,wood
river,ass
river,basket
river,euphrates
river,meadow
rock,bird
rock,cavern
rock,footprints
rock,weapons
rod,weapons
sacrifice,blood
sacrifice,bull
sacrifice,dog
sacrifice,eagle
sacrifice,fight
sacrifice,fish
sacrifice,giant
sacrifice,honey
sacrifice,horns
sacrifice,horse
sacrifice,knife
sacrifice,lyre
sacrifice,minotaur
sacrifice,sword
sacrifice,vine
saturn,animals
saturn,ass
saturn,child
saturn,death
saturn,pan
saturn,stone
saturn,temple
scales,justice
sea,animals
sea,cauldron
sea,egypt
sea,fish
sea,harpies
sea,horse
sea,man
sea,mirror
sea,monsters
sea,ocean
sea,serpent
sea,ship
sea,styx
sea,valley
sea,water
sea,west
seasons,ages
seasons,farmer
seasons,heat
seasons,hours
secret,cave
secret,dragon
secret,palace
secret,temple
secret,weapons
seed,fire
seed,fruit
seed,man
serpent,chariot
serpent,dragon
serpent,foot
serpent,gorgon
serpent,object
serpent,saturn
shadow,king
shadow,weapons
shape,apple
shape,arrow
shape,cauldron
shape,city
shape,cloak
shape,crown
shape,dove
shape,dragon
shape,figures
shape,fish
shape,garden
shape,hat
shape,hole
shape,horns
shape,monsters
shape,mountain
shape,music
shape,pomegranate
shape,saturn
shape,serpent
shape,sign
shape,steps
shape,sword
shape,tower
shape,tree
shepherd,valley
shield,animals
shield,blood
shield,weapons
ship,fish
sign,apollo
sign,arm
sign,bird
sign,cloak
sign,crown
sign,destruction
sign,dog
sign,dragon
sign,eagle
sign,eye
sign,fight
sign,fish
sign,harpies
sign,hero
sign,honey
sign,horns
sign,horse
sign,justice
sign,lion
sign,man
sign,minstrel
sign,mouth
sign,ocean
sign,pillar
sign,serpent
sign,steps
sign,sword
sign,throne
sign,thunderbolt
sign,tower
sign,wall
sign,water
smoke,lyre
sound,king
sound,rock
space,air
space,barriers
space,city
space,destruction
space,figures
space,flight
space,heaven
space,journey
space,love
space,music
space,palace
space,saturn
space,ship
space,temple
space,time
space,wall
space,world
stars,heaven
stars,hesperides
steps,mountain
steps,space
steps,temple
steps,thunderbolt
steps,treasure
stone,child
stone,hole
stone,mother
stone,music
stone,object
stone,rock
stone,space
stone,water
strength,dragon
strength,fire
strength,horns
strength,light
strength,lion
strength,moon
strength,mother
strength,power
strength,serpent
string,garland
sun,apollo
sun,bird
sun,bull
sun,chariot
sun,cold
sun,crown
sun,desert
sun,eagle
sun,eye
sun,fight
sun,fire
sun,foot
sun,forest
sun,gold
sun,heart
sun,heat
sun,hero
sun,hesperides
sun,horse
sun,hours
sun,king
sun,lake
sun,lion
sun,man
sun,matter
sun,mirror
sun,moon
sun,mouth
sun,music
sun,nature
sun,ocean
sun,prince
sun,shadow
sun,ship
sun,space
sun,styx
sun,temple
sun,time
sun,water
sun,west
sun,wings
sword,blood
